Video-Streaming;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
Stimulus-ID;Assessment;"Tinit [ms]";"RUL [kbps]";"RDL [kbps]";"DUL [ms]";"DDL [ms]";"Stimulus in picture";Codec;;;;Video;Link;Assessment
VS-A-1;Basic set;720;80;50000;22;22;Reference;Auto;;;;"tagesschau 20:00 Uhr, 14.12.2020
Excerpt from 12:55 (min:sec) to 13:16 (min:sec).
(Alternative excerpt (t.b.d.): from 00:00 to 00:20).
Resolution: Auto, 720p, 480p, 360p, 240p, 144p";https://www.youtube.com/watch?v=1dxhytrMmkM;Throughput HD;
VS-A-2;"Basic set";720;63;20000;22;22;Assessment;Auto;;;;;;
VS-A-3;"Basic set";720;55;10000;22;22;Assessment;Auto;;;;;;
VS-A-4;"Basic set";720;50;5000;22;22;Assessment;Auto;;;;;;
VS-A-5;"Basic set";860;41;2000;46;46;Assessment;Auto;;;;;;
VS-A-6;"Basic set";1800;39;1000;200;200;Assessment;Auto;;;;;;
VS-A-7;"Basic set";2900;37;750;240;240;Assessment;Auto;;;;;;
VS-A-8;"Basic set";4000;35;500;305;305;Assessment;Auto;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
Stimulus-ID;Assessment;"Tinit [ms]";"RUL [kbps]";"RDL [kbps]";"DUL [ms]";"DDL [ms]";"Stimulus in picture";Codec;;;;Video;Link;Assessment
VS-B-1;"Basic set";720;80;50000;16;16;Reference;Auto;;;;"Beethoven: Symphony no. 5 in C Minor, op. 67 | Christian Thielemann (Full HD 1080p)
Excerpt from appr. 00:00:57 (h:min:sec) to 00:01:14 (h:min:sec).
(Alternative excerpt (t.b.d.): from 00:00:57 to 00:01:18).
Resolution: Auto, 1080p, 720p, 480p, 360p, 240p, 144p";https://www.youtube.com/watch?v=yTL8j-JU_ow;"Throughput (Full-HD)"
VS-B-2;"Basic set";720;63;20000;16;16;Assessment;Auto;;;;;;
VS-B-3;"Basic set";720;55;10000;16;16;Assessment;Auto;;;;;;
VS-B-4;"Basic set";720;50;5000;16;16;Assessment;Auto;;;;;;
VS-B-5;"Basic set";3300;45;2000;160;160;Assessment;Auto;;;;;;
VS-B-6;"Basic set";6450;42;1000;220;220;Assessment;Auto;;;;;;
VS-B-7;"Basic set";7500;41;750;235;235;Assessment;Auto;;;;;;
VS-B-8;"Basic set";9200;41;500;260;260;Assessment;Auto;;;;;;
VS-B-9;"Basic set";11600;40;100;400;400;Assessment;Auto;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
